doc_id,trail_date,litigant_name,litigant_type,case_reason, status, 备注,url
5375f60d-3b86-4076-af6b-a849015498cd,2017.10.10 0:00, 宁国融鑫小额贷款有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=5375f60d-3b86-4076-af6b-a849015498cd&trailDate=2017-10-10
0f57d2ae-f53a-40ab-9cc5-a7a0012c9a26,2017.5.9 0:00, 淮南市宜家装饰工程有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=0f57d2ae-f53a-40ab-9cc5-a7a0012c9a26&trailDate=2017-05-09
cdb1a417-a986-4afc-9ef7-a82c00664d62,2017.10.10 0:00, 青海西北房地产开发建设有限公司, , 商品房预售合同纠纷, E, 页面为空没有相关数据仅只显示的字样为人民法院认为不宜在互联网公布的其他情形,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=cdb1a417-a986-4afc-9ef7-a82c00664d62&trailDate=2017-10-10
05554474-cf98-48fc-af08-a7a300fcf24b,2017.6.29 0:00, 鲁联资产管理（上海）有限公司, 被告, , S, "update judgedoc_litigant set litigant_type = '被告' litigant_type_alias = '2' where doc_id = '05554474-cf98-48fc-af08-a7a300fcf24b' and litigant_name='鲁联资产管理（上海）有限公司';",http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=05554474-cf98-48fc-af08-a7a300fcf24b&trailDate=2017-06-29
6767aabc-1785-4495-ae13-a7d0009e69d1,2017.7.20 0:00, 深圳市天海物业管理有限公司, , , E, 页面为空没有相关数据仅只显示的字样为人民法院认为不宜在互联网公布的其他情形,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=6767aabc-1785-4495-ae13-a7d0009e69d1&trailDate=2017-07-20
07c85607-95cf-4965-a131-a7b300fe9c8a,2017.6.5 0:00, 曹ＸＸＸ, 被告, 买卖合同纠纷, S, "update judgedoc_litigant set litigant_type = '被告' litigant_type_alias = '2' where doc_id = '07c85607-95cf-4965-a131-a7b300fe9c8a' and litigant_name='曹ＸＸＸ';",http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=07c85607-95cf-4965-a131-a7b300fe9c8a&trailDate=2017-06-05
3332eb9b-4822-417c-adc2-a7f2000ccc5a,2017.2.22 0:00, 中国平安财产保险股份有限公司嘉兴中心支公司, , , E, 页面为空没有相关数据仅只显示的字样为人民法院认为不宜在互联网公布的其他情形,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=3332eb9b-4822-417c-adc2-a7f2000ccc5a&trailDate=2017-02-22
47919f32-71f7-406f-b1c6-a8530074b815,2017.4.28 0:00, 海拉尔燃料有限责任公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=47919f32-71f7-406f-b1c6-a8530074b815&trailDate=2017-04-28
47919f32-71f7-406f-b1c6-a8530074b815,2017.4.28 0:00, 呼伦贝尔市中夏小额贷款有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=47919f32-71f7-406f-b1c6-a8530074b815&trailDate=2017-04-28
f7144bfc-5e8f-4082-8f74-a7bb010bd8ea,2017.1.4 0:00, 株洲金巢实业发展有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=f7144bfc-5e8f-4082-8f74-a7bb010bd8ea&trailDate=2017-01-04
